       lambda          SN_2796        SN_2803
       8619.7300         8622.0400       0.181606       0.404233
       8620.0200         8622.3200       0.526543       0.449543
       8620.3100         8622.6100       0.870457       0.348241
       8620.6000         8622.9000        1.20998       0.289086
       8620.8800         8623.1900        1.55054       0.419434
       8621.1700         8623.4700        1.68934       0.489282
       8621.4600         8623.7600        1.73256       0.544940
       8621.7500         8624.0500        1.80895       0.402391
       8622.0400         8624.3400        1.92370       0.432758
       8622.3200         8624.6200        2.36799       0.610348
       8622.6100         8624.9100        3.18646       0.494185
       8622.9000         8625.2000        4.13758       0.259698
       8623.1900         8625.4900        5.00546       0.448813
       8623.4700         8625.7700        5.60444       0.550341
       8623.7600         8626.0600        6.31035       0.559623
       8624.0500         8626.3500        6.83189       0.521616
       8624.3400         8626.6400        6.56164       0.497402
       8624.6200         8626.9300        6.07911       0.295778
       8624.9100         8627.2100        5.53546       0.106590
       8625.2000         8627.5000        4.35242      0.0483480
       8625.4900         8627.7900        2.92457       0.158172
       8625.7700         8628.0800        1.44990     -0.0817835
       8626.0600         8628.3600       0.396110      -0.236853
       8626.3500         8628.6500      -0.286574      -0.439569
       8626.6400         8628.9400      -0.872429      -0.546844
       8626.9300         8629.2300      -0.707845      -0.430414
       8627.2100         8629.5200      -0.553300      -0.446611
       8627.5000         8629.8000      -0.590258      -0.417512
       8627.7900         8630.0900      -0.409709      -0.338224
       8628.0800         8630.3800      -0.214982      -0.353808
       8628.3600         8630.6700      -0.119459      -0.313312
       8628.6500         8630.9600     -0.0572180      -0.197054
       8628.9400         8631.2400      0.0779404      -0.121438
       8629.2300         8631.5300      -0.117470      -0.454778
       8629.5200         8631.8200      -0.296258      -0.643359
       8629.8000         8632.1100      -0.596266      -0.519334
       8630.0900         8632.3900      -0.731075      -0.464481
       8630.3800         8632.6800      -0.768004      -0.493293
       8630.6700         8632.9700      -0.718599      -0.494816
       8630.9600         8633.2600      -0.430014      -0.611341
       8631.2400         8633.5500      -0.377231      -0.557286
       8631.5300         8633.8300      -0.571675      -0.217205
       8631.8200         8634.1200      -0.526748       0.382132
       8632.1100         8634.4100      -0.479698       0.437731
       8632.3900         8634.7000      -0.124360       0.354923
       8632.6800         8634.9900      -0.130052       0.429912
       8632.9700         8635.2700      -0.442805       0.574223
       8633.2600         8635.5600      -0.622968       0.549523
       8633.5500         8635.8500      -0.803607       0.370902
       8633.8300         8636.1400      -0.703324     -0.0162541
       8634.1200         8636.4300      -0.347469      -0.423828
       8634.4100         8636.7100      0.0918091      -0.643504
       8634.7000         8637.0000       0.283118      -0.611095
       8634.9900         8637.2900       0.207474      -0.633724
       8635.2700         8637.5800       0.184241      -0.720462
       8635.5600         8637.8700       0.522122      -0.691056
       8635.8500         8638.1600       0.804293      -0.746597
       8636.1400         8638.4400       0.908176      -0.345674
       8636.4300         8638.7300       0.798068      -0.108580
       8636.7100         8639.0200       0.916109       0.133744
       8637.0000         8639.3100        1.14370      -0.128664
       8637.2900         8639.6000        1.75989      -0.401155
       8637.5800         8639.8800        2.27631      -0.402939
       8637.8700         8640.1700        2.90712      -0.497072
       8638.1600         8640.4600        3.36779      -0.808205
       8638.4400         8640.7500        3.57099       -1.04438
       8638.7300         8641.0400        3.61261       -1.28885
       8639.0200         8641.3300        3.48705       -1.42751
       8639.3100         8641.6100        3.09451       -1.33351
       8639.6000         8641.9000        2.61208      -0.674121
       8639.8800         8642.1900        2.08965      0.0756932
       8640.1700         8642.4800        1.63020       0.664094
       8640.4600         8642.7700        1.08792        1.01615
       8640.7500         8643.0500       0.675007        1.51185
       8641.0400         8643.3400       0.359973        2.18268
       8641.3300         8643.6300       0.406108        2.83392
       8641.6100         8643.9200       0.542698        3.05893
       8641.9000         8644.2100       0.404233        2.42846
       8642.1900         8644.5000       0.449543        1.85876
       8642.4800         8644.7900       0.348241        1.23992
       8642.7700         8645.0700       0.289086       0.894150
       8643.0500         8645.3600       0.419434       0.506722
       8643.3400         8645.6500       0.489282       0.187637
       8643.6300         8645.9400       0.544940     -0.0860058
       8643.9200         8646.2300       0.402391      -0.343897
       8644.2100         8646.5200       0.432758      -0.607153
       8644.5000         8646.8000       0.610348      -0.402699
       8644.7900         8647.0900       0.494185      -0.469195
       8645.0700         8647.3800       0.259698      -0.487207
       8645.3600         8647.6700       0.448813      -0.734728
       8645.6500         8647.9600       0.550341      -0.551036
       8645.9400         8648.2500       0.559623      -0.292794
       8646.2300         8648.5300       0.521616     -0.0627954
       8646.5200         8648.8200       0.497402       0.133389
       8646.8000         8649.1100       0.295778    -0.00562301
       8647.0900         8649.4000       0.106590     -0.0796298
       8647.3800         8649.6900      0.0483480       0.130818
       8647.6700         8649.9800       0.158172       0.362608
       8647.9600         8650.2700     -0.0817835       0.481818
       8648.2500         8650.5500      -0.236853       0.544648
       8648.5300         8650.8400      -0.439569       0.252046
       8648.8200         8651.1300      -0.546844      0.0666537
       8649.1100         8651.4200      -0.430414      -0.190195
       8649.4000         8651.7100      -0.446611      0.0550643
       8649.6900         8652.0000      -0.417512       0.135272
       8649.9800         8652.2900      -0.338224     -0.0809336
       8650.2700         8652.5700      -0.353808      -0.371947
       8650.5500         8652.8600      -0.313312      -0.416950
       8650.8400         8653.1500      -0.197054      -0.422984
       8651.1300         8653.4400      -0.121438      -0.255013
       8651.4200         8653.7300      -0.454778     -0.0642346
       8651.7100         8654.0200      -0.643359     -0.0352769
       8652.0000         8654.3100      -0.519334    0.000750416
       8652.2900         8654.5900      -0.464481     -0.0534706
       8652.5700         8654.8800      -0.493293       0.180329
       8652.8600         8655.1700      -0.494816       0.267597
       8653.1500         8655.4600      -0.611341       0.255702
       8653.4400         8655.7500      -0.557286     -0.0433080
       8653.7300         8656.0400      -0.217205       0.124251
       8654.0200         8656.3300       0.382132      0.0566246
       8654.3100         8656.6200       0.437731      0.0704418
       8654.5900         8656.9000       0.354923    -0.00746941
       8654.8800         8657.1900       0.429912      0.0936357
       8655.1700         8657.4800       0.574223      0.0106832
       8655.4600         8657.7700       0.549523     -0.0622134
       8655.7500         8658.0600       0.370902     -0.0850826
       8656.0400         8658.3500     -0.0162541       0.181154
       8656.3300         8658.6400      -0.423828       0.153724
       8656.6200         8658.9300      -0.643504     -0.0322471
       8656.9000         8659.2100      -0.611095      -0.130270
       8657.1900         8659.5000      -0.633724     -0.0175100
       8657.4800         8659.7900      -0.720462     -0.0470466
