system,comp,sol,element,rest_l,z,z_err,c_d,cd_low,cd_high,b,mb_low,b_high,ew_flux,ew_vp,ew_er,s3,s5
2,c,S1306,FeII,2600.1725,2.37833,1.36E-05,13.031,12.5454,13.3404,1.36675,1,1.76719,0.037724,0.0366548,0.00374681,-99,-99
2,c,S1306,FeII,2586.6496,2.37833,1.36E-05,13.031,12.5454,13.3404,1.36675,1,1.76719,0.0272566,0.0232309,0.00312411,-99,-99
2,d,S1306,FeII,2382.7642,2.37833,1.36E-05,13.031,12.5454,13.3404,1.36675,1,1.76719,0.318306,0.0350269,0.0532443,-99,-99
2,d,S1306,FeII,2344.213,2.37833,1.36E-05,13.031,12.5454,13.3404,1.36675,1,1.76719,-0.31588,0.0260794,0.0562243,-99,-99
2,d,S1306,FeII,1608.4508,2.37833,1.36E-05,13.031,12.5454,13.3404,1.36675,1,1.76719,-0.147382,0.00987359,0.438792,-99,-99
3,a,S1306,MgII,2796.3543,2.52974,2.43E-05,13.0492,12.9645,13.1031,8.33663,6.93856,9.22277,0.190845,0.184776,0.0117617,0.967,0.967
3,a,S1306,MgII,2803.5315,2.52974,2.43E-05,13.0492,12.9645,13.1031,8.33663,6.93856,9.22277,0.0671165,0.134517,0.0411365,0.967,0.967
3,b,S1306,MgII,2796.3543,2.53114,4.23E-05,13.5831,13.517,13.62,39.0584,36.3991,39.6463,0.722138,0.766622,0.0494932,0.967,0.967
3,b,S1306,MgII,2803.5315,2.53114,4.23E-05,13.5831,13.517,13.62,39.0584,36.3991,39.6463,0.545207,0.501072,0.0254553,0.967,0.967
3,c,S1306,MgII,2796.3543,2.53254,0.000414,14.8098,14.6862,14.8516,24.3866,23.275,24.4756,0.946313,0.908941,0.0170012,0.967,0.967
3,c,S1306,MgII,2803.5315,2.53254,0.000414,14.8098,14.6862,14.8516,24.3866,23.275,24.4756,0.906488,0.857751,0.0235243,0.967,0.967
3,d,S1306,MgII,2796.3543,2.53316,0.00142,13.7565,13.6974,13.797,36.7533,36.3102,37.0296,1.03312,0.864978,0.0200896,0.967,0.967
3,d,S1306,MgII,2803.5315,2.53316,0.00142,13.7565,13.6974,13.797,36.7533,36.3102,37.0296,0.825857,0.621462,0.0220929,0.967,0.967
3,e,S1306,MgII,2796.3543,2.53429,5.83E-05,13.5427,13.4765,13.5883,25.3395,24.4588,26.1273,0.628902,0.558824,0.0183778,0.967,0.967
3,e,S1306,MgII,2803.5315,2.53429,5.83E-05,13.5427,13.4765,13.5883,25.3395,24.4588,26.1273,0.461622,0.416106,0.0218045,0.967,0.967
